english,russian
Inhale,Вдыхать
Inherent,"Свойственный, присущий"
Inherit,"Унаследовать, перенять"
Inhibit,"Препятствовать, затруднять"
Initial,Первоначальный
Inject,"Впрыскивать, вкачивать"
Injure,"Ранить, наносить ущерб"
Ink,Чернила
Inland,"Внутренний, вглубь страны"
Inmate,Обитатель
Inn,Гостиница
Inner,Внутренний
Innocent,"Невинный, невиновный"
Input,"Вход, ввод"
Inquire,"Узнавать, интересоваться"
Insect,Насекомое
Insert,Вставить
Inside,Внутри
Inside out,Наизнанку
Insight,"Понимание, догадка"
Insist,Настаивать
Inspect,"Проверять, осматривать"
Inspire,"Вдохновить, внушить"
Install,Устанавливать
Instance,"Пример, случай"
Instant,"Мгновенние, мгновенный"
Instead,Вместо
Insulate,"Изолировать, оградить"
Insult,"Оскорбление, оскорблять"
Insure,"Страховать, гарантировать"
Insurgent,"Повстанец, мятежник"
Intact,Неповрежденный
Intake,"Потребление, приём"
Integral,"Составной, неотъемлемый"
Integrity,"Честность, порядочность"
Integrity,Целостность
Intelligence,Разведка
Intelligent,Умный
Intelligible,"Вразумительный, понятный"
Intend,Намереваться
Intended,Предназначенный
Interact,Взаимодействовать
Intercept,"Перехватить, перехватить"
Intercourse,Отношения или пол. сношение
Interfere,"Вмешиваться, мешать"
Interim,"Промежуточный, временный"
Interior,"Внутренность, внутренний"
Intermediate,Промежуточный
Intern,Стажёр
Internal,Внутренний
Interpret,Истолковывать
Interpreter,Переводчик
Interrogate,Допрашивать
Interrupt,"Прерывать, перебивать"
Intersect,Пересекаться
Intervene,Вмешиваться
Intestine,Кишечник
Intimate,Близкий
Intimidate,Запугивать
Intricate,"Сложный, запутанный"
Intrinsic,"Присущий, внутренний"
Introduce,"Представить, познакомить"
Introduce,Ввести (в употребление)
Intrude on,"Вторгаться, вмешиваться"
Invade,Вторгаться
Invent,Изобретать
Inventory,"Опись, учёт"
Invert,"Переворачивать, опрокидывать"
Investigate,Расследовать
Invite,Приглашать
Invoke,"Взывать, призывать"
Involve,"Вовлекать, увлекать"
Involve,Содержать в себе (процесс)
Inward,Внутрь
Iron,"Утюг, гладить"
Iron,"Железо, железный"
Irritate,Раздражать
Island,Остров
Itch,Зуд
Item,"Пункт, номер, предмет"
Ivory,Слоновая кость
Ivy,Плющ
Jab,"Ударять, пихать"
Jacket,"Куртка, пиджак"
Jail,Тюрьма
Janitor,"Дворник, уборщик"
Jar,"Банка, кувшин и т. д."
Jaw,Челюсть
Jealous,Ревнивый
Jelly,Желе
Jeopardy,Опасность (серьёзная)
Jerk,"Дёргать, резкое движение"
Jerk,Придурок
Jet,Струя
Jet,Реактивный двигатель/самолёт
Jew,Еврей
Jewel,Драгоценности
Jingle,"Звенеть, звон"
Jog,Бегать трусцой
Join,Присоединить (ся)
Joint,"Сустав, шарнир, стык и т. д."
Joint,"Совместный, объединённый"
Jolly,Веселый
Jolt,"Толчок, встряска"
Journalism,Журналистика
Journey,Путешествие
Joy,Радость
Judge,"Судья, судить (втч. перен)"
Judicial,Судебная
Jug,Кувшин
Jumble,Перемешивать
Jump at,Ухватиться (за возможность)
Jump in,Вмешаться
Jumper,Джемпер
Junction,"Стык, узел, пересечение"
Junior,Младший
Junk,"Барахло, хлам"
Junkie,Наркоман
Jury,Жюри или присяжные
Justice,"Правосудие, справедливость"
Justify,"Оправдывать, обосновывать"
Jut,"Выступать, выдаваться"
Keen,Острый (часто перен.)
Keep away,Держать (ся) подальше
Keep off,"Избегать, не трогать"
Keep on,Продолжать делать
Keep out of,Не влезать
Keep up,Успевать за чем-л.
Kernel,Ядро
Kettle,Чайник
Kick,Пинать
Kick around,Обсудить (разг.)
Kick back,Расслабиться
Kid,"Шутить, разыгрывать"
Kid,Ребёнок
Kidnap,Похищать
Kidney,Почка
Kin (pl:kin),Родственник
Kindergarten,Детский сад
Kit,"Комплект, набор"
Kite,Коршун или воздушный змей
Kitten,Котенок
Knack,"Умение, сноровка"
Knee,Колено
Kneel,Стать на колени (колено)
Knight,Рыцарь
Knit,Вязать
Knob,Ручка (круглая)
Knock,Стучать
Knock down,"Снести, сбить"
Knock out,Вырубить (ударом)
Knock together,"Слепить, соорудить"
Knot,Узел
Label,"Метка, ярлык, метить"
Labour,"Труд, трудиться"
Lace,"Шнурок, шнуровать"
Lack,"Недостаток, нуждаться"
Lad,Парень
Ladder,Лестница
Laden,Груженный
Lag,Запаздывание
Lamb,Ягненок
Lame,Хромой
Lament,"Оплакивать, сожалеть"
Landlord,"Арендодатель, домовладелец"
Landmark,Ориентир
Landscape,Пейзаж
Lane,Полоса дороги
Lantern,Фонарь
Lap,Колени
Lapse,"Упущение, оплошность"
Lapse,Промежуток времени
Laptop,Ноутбук
Lash (eyelash),Ресница
Lash out,"Нападать, ругаться"
Latch,"Защёлка, засов"
Lateral,Боковой
Latter,Последний (из названных)
Laugh,Смеяться
Laughter,Смех
Launch,"Начать, запустить, запуск"
Laundry,Прачечная
Lavish,"Щедрый, роскошный"
Lawn,Газон
Lawsuit,"Тяжба, судебное дело"
"Lay (laid, laid)","Класть, укладывать"
Lay down,"Установить (правило, норму)"
Lay off,"Уволить, сократить"
Lay out,"Выложить, разложить"
Layer,Слой
Layout,"Макет, расположение"
Lazy,Ленивый
Lead,Вести
Lead up to,Предшествовать
Leaf (pl: leaves),Лист
Leak,"Утечка, просачиваться, протекать"
Lean,Худой
Lean against,"Опереться, прислонить"
Lean over,"Наклониться над, через"
Leap,"Прыгать, прыжок"
Lease,Сдавать в аренду
Leash,"Привязь, поводок"
Leather,"Кожаный, кожа"
"Leave (left, left)","Уйти, покинуть"
Leave behind,"Оставить, забыть"
Ledge,Уступ
Leek,Лук-порей
Leftover,Остаток
Leg,Нога
Legacy,"Наследие, наследство"
Legislation,Законодательство
Legitimate,"Законный, обоснованный"
Leisure,"Досуг, отдых"
"Lend (lent, lent)",Давать в долг
Length,Длина
Lens,"Линза, объектив"
Lessen,Уменьшать(ся)
Lest,"Чтобы не, иначе"
Let in on,"Посвящать (в секрет, план)"
Let off,"Отпустить, дать отделаться"
Let smb down,Подвести
Let smb in,Впустить
Let up,"Прекратиться, стихнуть"
Lettuce,Салат (латук)
Lever,"Рычаг, ручка"
Liable,Подлежащий
Liaison,Связь
Liberate,Освобождать
Liberty,Свобода
Library,Библиотека
Licence (license),Разрешение
Lick,Лизать
Lid,Крышка
Lie,"Лгать, ложь"
"Lie (lay, lain)",Лежать
Lifelong,Пожизненный
Lift,Поднимать
"Light (lit, lit)",Зажигать
Light up,Осветить или загореться
Lightning,Молния
Like that,Так
Likewise,Также
Limb,Конечность
Limit,"Ограничивать, ограничение"
Limp,Хромать
Line up,Встать в очередь
Lineage,Родословная
Linen,Бельё
Linen,Льняная ткань
Lineup,"Расстановка, расположение"
Linger,"Задерживаться, медлить"
Link,"Связь, звено, ссылка"
Lip,Губа
Lipstick,Губная помада
Liquid,"Жидкость, жидкий"
Listen in on,Подслушивать
Literal,Буквальный
Literary,"Литературный, книжный"
Literate,Грамотность
Litter,Мусор (на улице)
Live up to,"Соответствовать, дотягивать"
Livelihood,Средства к существованию
Liven up,"Оживить, взбодрить"
Liver,Печень
Livestock,Скот
Lizard,Ящерица
Load,"Грузить, груз"
Loaf,"Буханка, булка"
Loan,"Заём, ссуда"
Loathe,"Ненавидеть, питать отвращение"
Lobby,"Вестибюль, фойе, прихожая"
Lobster,Омар
Locate,Определить местоположение
Lock,"Замок, запирать"
Lock up,Посадить в тюрьму или дурку
Locker,"Ящик, шкаф (закрывающийся)"
Locus,Местоположение
Lodge,"Домик, поселиться, остановиться"
Lodge,Подавать (документ)
Loft,"Чердак, верхний нежилой этаж"
Log,Бревно
Lone,Одинокий
Long ago,Давно
Long for,Желать или скучать
Longevity,"Долговечность, долголетие"
Look after,Присматривать
Look around,"Посмотреть, оглядеть"
Look at,"Рассмотреть, обдумать"
Look for,Искать
Look forward,"Ожидать, предвкушать"
Look into,"Посмотреть, изучить"
Look out,Смотреть (опасность!)
Look smb up,Найти (в списке и т. п.)
Look up,"Улучшаться, налаживаться"
Look up to,"Уважать, восхищаться"
Loom,"Маячить, виднеться"
Loop,Петля
Loose,"Свободный, болтающийся"
Loot,"Грабить, добыча"
Lot,"Жребий, судьба"
Loud,Громкий
Lounge,"Гостиная, холл, комната отдыха"
Lounge,"Расслабляться, бездельничать"
Lousy,Паршивый
Lovely,"Чудесный, милый"
Loyal,"Верный, преданный"
Lucrative,"Прибыльный, выгодный"
Ludicrous,"Нелепый, смехотворный"
Luggage,Багаж
Lumber,Пиломатериалы
Lump,"Кусок, глыба, ком"
Lunar,Лунный
Luncheon,Завтрак
Lung,Легкое
Lurch,"Крениться, шататься"
Lure,"Приманка, манить"
Lurk,Таиться
Lush,Пышный
Lust,"Вожделение, страсть"
Luxury,Роскошь
Lyrics,Текст песни
Magazine,Журнал
Magician,"Волшебник, фокусник"
Magnificent,"Великолепный, величественный"
Magnify,Увеличивать
Magnitude,"Величина, сила"
Maid,"Служанка, горничная"
Maiden,"Дева, девственница"
Mainland,Материк или большой остров
Maintain,"Поддерживать, сохранять"
Majesty,"Величие, величество"
Make fun of,"Смеяться, издеваться"
Make into,Переделать в
Make of,"Извлечь, получить"
Make out,"Разобрать, понять"
Make out,Целоваться
Make sure,Убедиться
Make up,Выдумать
Make up,Помириться
Make up for,"Компенсировать, наверстать"
Makeup,Макияж
Male,Мужской
Mall,Торговый центр
Mammal,Млекопитающее
Mammoth,Мамонт
Manage,"Справляться, управлять"
Mandatory,Обязательный
Manifest,"Проявить, явный"
Mankind,Человечество
Mansion,"Особняк, здание"
Mantle,Мантия
Manual,"Руководство, учебник"
Manual,Ручной
Manufacture,"Производить, производство"
Manure,Навоз
Map out,"Запланировать, расписать"
Maple,Клён
Marble,Мрамор
Margin,"Край, граница"
Margin,"Маржа, накрутка"
Marine,Морской
Marital,Супружеский
Maritime,Морской
Mark,"Метка, отмечать"
Mark down,Снижать ценник
Marry,"Жениться, выйти замуж"
Marsh,Болото
Martial,"Боевой, военный"
Martyr,Мученик
Marvel,"Диво, удивляться"
Mash,"Разминать, месиво"
Massacre,Резня
Master,Хозяин
Master,Овладеть (напр. искусством)
Masterpiece,Шедевр
Mat,"Коврик, циновка"
Match,"Соответствие, нечто соответствующее"
Match,Спичка
Mate,"Товарищ, компаньон"
Maternal,Материнский
Mature,"Зрелый, зреть"
Mayor,Мэр
Maze,Лабиринт
Meadow,Луг
Meager,"Скудный, недостаточный"
Meal,Еда
"Mean (meant, meant)",Иметь в виду
"Mean (meant, meant)",Означать
"Mean (meant, meant)",Предназначать
Meantime,Тем временем
Meanwhile,Тем временем
Measure,"Мера, мероприятие"
Measure,"Измерять, измерение"
Mediate,Посредничать
Medicine,Лекарство
Medieval,Средневековый
Mediocre,Посредственный
Meditate,Обдумывать или созерцать
Medium,"Средство, способ"
"Meet (met, met)",Встретить или познакомиться
Melon,Дыня
Melt,"Таять, плавить(ся)"
Memoirs,Мемуары
Memories,Воспоминания
Memory,Память
Menace,"Угроза, угрожать"
Mend,"Чинить, поправлять"
Mental,Умственный
Mention,Упоминать
Mentor,Наставник
Merchandise,Товар
Merchant,"Торговец, купец"
Mercury,Ртуть
Mercy,"Милость, милосердие"
Mere,Всего лишь
Merge,"Соединять, сливать"
Merit,"Заслуга, заслуживать"
Merry,Веселый
Mesh,Сетка
Mess,"Беспорядок, путаница"
Mess up,"Испортить, накосячить"
Mess with,"Возиться, связываться и т.д."
Metropolitan,Столичный
Mid,"Середина, полу-"
Middle,"Середина, средний"
Midnight,Полночь
Midst,"Середина, среда"
Midwife,Акушерка
Mild,Мягкий
Mileage,Пробег
Mill,Мельница или фабрика
Millennium,Тысячелетие
Mimic,"Передразнивать, копировать"
Mince,"Фарш, крошить, рубить"
Mindful,"Внимательный, помнящий"
Mine,Мина
Mine,"Шахта, рудник"
Mingle,Смешиваться
Minor,"Второстепенный, незначительный"
Minor,Несовершеннолетний
Mint,Мята
Miracle,Чудо
Mischief,"Вред, безобразие"
Miserable,"Несчастный, жалкий"
Misery,Нищета
Misery,"Несчастье, страдание"
Miss,Скучать
Miss,"Пропускать, упустить"
Missile,Ракета
Missing,"Пропавший, отсутствующий"
Mist,Туман
Mistake,Ошибка
Mistake for,Принимать за
Mistress,"Госпожа, хозяйка"
Mistress,Любовница
Mitigate,"Смягчить, сгладить"
Mix up,Перепутать
Mixture,Смесь
Moan,Стонать
Mob,Толпа (неуправляемая)
Mock,"Издеваться, насмехаться"
Mode,"Режим, способ, вид"
Moderate,"Умеренный, средний"
Modest,"Скромный, умеренный"
Modify,Видоизменять
Moist,Влажный
Mold (mould),Плесень
Mold (mould),"Форма, формировать"
Mole,Крот
Mole,Родинка
Molest,"Приставать, досаждать"
Monastery,Монастырь
Monetary,"Валютный, денежный"
Monk,Монах
Mood,Настроение
Moose,Лось
Mop,"Швабра, мыть пол"
Moreover,Более того
Moron,Дебил
Mortal,"Смертельный, смертный"
Mortgage,Ипотека
Mosque,Мечеть
Mosquito,Комар
Moss,Мох
Mostly,В основном
Moth,Мотылёк или моль
Motion,Движение
Motto,Девиз
Mound,"Насыпь, бугор"
Mount,"Монтировать, устанавливать"
Mount,"Подниматься, забираться"
Mount,Гора
Mountain,"Гора, горный"
Mourn,"Скорбеть, носить траур"
Move out,"Съехать, выселиться"
Move over,Подвинуться
Movie,Кино
Mow,Косить
Muck,"Грязь, мусор, навоз"
Mud,Грязь
Mug,Кружка
Multiple,"Множественный, неединичный"
Multiply,Умножать или размножаться
Multitude,Множество
Mumble,"Бормотать, бубнить"
Mural,"Стенная роспись, фреска"
Murder,"Убийство, убивать"
Murky,"Мутный, тёмный"
Murmur,"Шум, ропот, журчание"
Muscle,Мышца
Mushroom,Гриб
Muslim,"Мусульманин, мусульманский"
Mustache (moustache),Усы
Mustard,Горчица
Muster,"Собрать, согнать, мобилизовать"
Mute,"Беззвучный, не говорящий"
Mutter,"Бормотать, бурчать"
Mutual,Взаимный
Muzzle,Морда или намордник
Mystery,Тайна
Nail,"Гвоздь, прибивать"
Nail,Ноготь
Naked,Голый
Name after,Назвать в честь
Nanny,Няня
Nap,"Вздремнуть, дремота"
Napkin,Салфетка
Narrate,"Повествовать, рассказывать"
Narrow,Узкий
Nasty,Противный
Native,Родной
Native,"Местный, туземный"
Naughty,Непослушный
Nausea,Тошнота
Navigate,"Ориентироваться, ходить по курсу"
Navy,Военно-морской флот
Neat,"Аккуратный, опрятный"
Neck,Шея
Necklace,Ожерелье
Needle,Игла
Neglect,"Пренебрегать, не следить"
Negligent,"Небрежный, халатный"
Negotiate,Вести переговоры
Neighbour,Сосед
Neither,Ни один из двух
Neither,Тоже не
Neither...nor,Ни
Nephew,Племянник
Nerd,"Ботан, задрот"
Nerve,Смелость
Nest,"Гнездо, гнездиться"
Net,"Чистый, конечный, без вычетов"
Network,Сеть
Nevertheless,Тем не менее
Newcomer,Новичок
Newspaper,Газета
Nibble on,"Покусывать, обгрызать"
Niche,Ниша
Niece,Племянница
Nightmare,Кошмар
Nipple,Сосок
Nitrogen,Азот
No matter,Неважно
Noble,Благородный
Nod,"Кивать, склонять"
Noise,Шум
Nominate,"Выдвигать, номинировать"
None,"Никакой, ни один"
Nonetheless,Тем не менее
Noodles,Лапша
Noon,Полдень
Nose around,"Рыскать, вынюхивать"
Nostril,Ноздря
Notch,Выемка
Note,"Заметка, запись"
Notice,Заметить
Notify,Известить
Notion,"Понятие, представление"
Notorious,"Известный, пресловутый"
Notwithstanding,Несмотря на
Noun,Существительное
Nourish,"Питать, кормить, удобрять"
Novel,Роман
Novelty,Новинка
Nuclear,Ядерный
Nude,Обнаженный
Nudge,Подталкивать
Nuisance,"Неприятность, неудобство"
Numb,"Онемелый, окоченевший"
Numeric (numerical),"Числовой, цифровой"
Numerous,Многочисленные
Nun,Монахиня
Nurse,"Медсестра, нянька"
Nurture,"Растить, питать"
Nut,Орех
Nutrient,"Питательный, пит. вещество"
Nutrition,Питание
Nuts,Чокнутый
Oak,Дуб
Oath,"Клятва, присяга"
Oats,"Овес, овсянка"
Obedience,Покорность
Obese,Страдающий ожирением
Obey,"Подчиняться, слушаться"
Object,Возражать
Objective,Цель
Oblige,Обязывать
Oblique,"Косой, наклонный"
Obscene,Непристойный
Obscure,"Неясный, тёмный"
Observe,Наблюдать
Obsess,Овладеть (разумом)
Obsolete,Устарелый
Obstacle,Препятствие
Obstruct,"Препятствовать, загромождать"
Obtain,"Получить, обрести"
Obvious,Очевидный
Occasion,"Случай, событие"
Occupation,"Профессия, род деятельности"
Occupy,Занимать
Occur,Случиться
Occur to,Прийти в голову
Odd,"Необычный, неправильный"
Odds,Шансы
Odor (odour),Запах
Offence,Обида
Offence (offense),"Преступление, нарушение"
Offend,"Обидеть, оскорбить"
Offer,"Предлагать, предложение"
Officer,"Служащий, должностное лицо"
Offset,Смещение
Offspring,Отпрыск или всё потомство
Oil,Масло
Oil,Нефть
Ominous,Зловещий
Omit,Пропускать
On account of,В связи
On behalf of,От имени
On foot,Пешком
On purpose,Нарочно
On the contrary,Наоборот
Ongoing,"Происходящий, продолжающий"
Onion,"Лук, луковица"
Onset,"Начало, наступление"
Onward (onwards),Далее
Opaque,Непрозрачный
Opening,Отверстие
Operate,"Управлять, работать с"
Opinion,Мнение
Opportunity,Возможность
Oppose,Противостоять
Opposite,Противоположный
Oppress,"Угнетать, притеснять"
Opt for,Выбирать из вариантов
Option,"Выбор, вариант"
Oral,"Устный, ротовой"
Orchard,Фруктовый сад
Ordinary,Обычный
Oriental,"Восточный, азиатский"
Origin,"Происхождение, начало"
Orphan,Сирота
Ostensibly,"По видимости, якобы"
Otherwise,"Иначе, иным образом"
Ought,"Должен, обязан"
Ounce,Унция
Out loud,Вслух
Outcome,"Результат, исход"
Outdated,Устаревший
Outdoor (outdoors),На улице
Outer,Внешний
Outfit,"Наряд, комплект, набор"
Outgoing,Уходящий
Outing,"Прогулка, пикник и т. д."
Outlaw,Преступник (особ. на свободе)
Outlet,Выход  (отверстие)
Outline,"Контур, очертание, очертить"
Outlook,"Перспектива, вид,  кругозор"
Outnumber,Превосходить численно
Output,"Выпуск, выход"
Outrage,"Произвол, насилие, поругание"
Outright,"Прямой, откровенный"
Outset,Начало
Outskirts,"Окраина, окрестности"
Outstanding,Выдающийся
Outstanding,"Неоплаченный, нерешённый"
Outweigh,Перевешивать
Oven,"Печь, духовка"
Overall,"Общий, целый"
Overcome,"Преодолеть, побороть"
Overflow,"Переполняться, разлиться"
Overhead,Над головой
Overhear,"Подслушать, нечаянно услышать"
Overlap,Перекрываться
Overlook,Не заметить
Overnight,"Ночной, с ночёвкой"
Override,"Перекрывать, отменять"
Overseas,"За рубежом, особ. за морем"
Oversee,"Контролировать, надзирать"
Oversight,Надзор
Overt,"Явный, открытый"
Overtake,Обгонять
Overthrow,Свергнуть
Overtime,Сверхурочная работа
Overturn,Опрокинуть (ся)
Overview,Обзор
Overwhelm,"Завалить, подавить"
Owe,Задолжать
Owe,Быть обязанным чем-л.
Owl,Сова
Oxygen,Кислород
Oyster,Устрица
Pace,"Шаг, шагать"
Pack,"Пачка, связка, колода, и т. д."
Pack,"Упаковывать, собирать"
Pad,"Подушечка пальца, лапы"
Pad,Блокнот
Pad,"Панель, клавиатура"
Paddle,"Грести, весло"
Pagan,Язычник
Pain,Боль
Pair,Пара
Pal,Приятель
Palace,Дворец
Pale,Бледный
Palm,Ладонь
Pan,Сковорода
Pancake,"Блин, оладья"
Pant,"Пыхтеть, задыхаться"
Pants,Штаны
Paperwork,Оформление бумаг
Paragraph,"Абзац, пункт"
Parcel,Посылка
Pardon,"Извинять, извинение"
Parlor,"Приёмная, салон"
Parrot,Попугай
Parsley,Петрушка
Participate,Участвовать
Particle,Частица
Partisan,Сторонник
Partition,Раздел
Part-time,Неполная занятость
Pass,Пройти
Pass away,Умереть
Pass by,Проходить мимо
Pass off as,"Сойти, прокатить за"
Pass out,Вырубиться
Pass smth on,Отдать (другому)
Pass up,Не воспользоваться шансом
Passage,"Проход, коридор"
Passenger,Пассажир
Passion,Страсть
Past,Мимо
Past,"Прошлый, прошедший"
Pastime,Времяпрепровождение
Pastry,"Выпечка, тесто"
Pasture,Пастбище
Pat,"Похлопать, потрепать"
Patch,"Заплатка, накладка, латать"
Path,Путь
Pathetic,Жалкий
Patient,Терпеливый
Patio,Внутренний дворик
Patrol,Патруль
Patron,Покровитель
Pattern,"Шаблон, образец"
Pause,Приостанавливать
Pave,Вымостить
Paw,Лапа
Pay back,Вернуть деньги
Pay off,Расплатиться (с долгом)
Pay out,Выплатить (крупную сумму)
Payment,Оплата
Pea,Горошина
Peaceful,Мирный
Peacekeeper,Миротворец
Peach,Персик
Peanut,Арахис
Pear,Груша
Pearl,"Жемчуг, жемчужина"
Peasant,Крестьянин
Pebble,Морской камень
Peck,Клевать
Peculiar,"Своеобразный, особый"
Peddle,"Торговать вразнос, по мелочи"
Pedestrian,Пешеход
Pee,Писать
Peek,"Вгзлянуть, подсмотреть"
Peel,"Кожура, очищать"
Peer,"Ровня, ровесник"
Peer,Вглядываться
Peg,"Колышек, фиксатор"
Penalty,Наказание
Pending,"В ожидании, на рассмотрении"
Penetrate,Проникать
Peninsula,Полуостров
Pepper,Перец
Perceive,"Воспринимать, ощущать"
Perception,Восприятие
Perennial,"Многолетний, вечный"
Perfect,Совершенный
Perform,"Выполнить, исполнить"
Peril,"Опасность, угроза"
Perish,Погибать
Perk,"Привилегия, преимущество"
Perk up,"Воспрянуть, оживиться"
Permanent,Постоянный
Permit,Разрешать
Perpetual,"Вечный, постоянный"
Perplex,"Смутить, озадачить"
Persecute,"Преследовать, травить"
Persist,Сохраниться
Persist,Упорствовать
Personnel,"Персонал, личный состав"
Persuade,Убеждать
Pervasive,"Расширяющийся, всепроникающий"
Pervert,"Извращать, извращенец"
Pest,"Паразит, вредитель"
Pet,Домашний питомец
Petal,Лепесток
Petroleum,Нефть
Petty,"Мелкий, мелочный"
Phony,Фальшивый
Physician,Врач
Pick,"Подбирать, собирать"
Pick on,"Дразнить, докучать"
Pick out,Выбрать или выделить из
Pick up,Прибрать
Pick up,Подобрать
Pickle,"Мариновать, солить"
Pie,Пирог
Piece,"Предмет, часть, кусок"
Pier,"Пристань, пирс"
Pierce,Проколоть
Pigeon,Голубь
Pile,"Куча, стопка"
Pile up,"Сложить, навалить"
Pill,Пилюля
Pillar,"Столб, опора, колонна"
Pillow,Подушка
Pin,"Булавка, штырь, прикалывать"
Pinch,"Зажать, ущипнуть"
Pine,Сосна
Pineapple,Ананас
Pipe,Трубка
Pipe,Труба
Piss,"Писать, моча"
Piss about,Страдать хернёй
Piss off,Бесить
Pit,Яма
Pitch,Подавать (мяч)
Pitch,Ставить (напр. палатку)
Pity,Жалость
Pivot,"Стержень, ось, точка опоры"
Placement,Размещение
Placid,"Тихий, спокойный"
Plague,Чума
Plain,"Ясный, очевидный"
Plain,"Ровный, равнина"
Plain,"Простой, незамысловатый"
Plane,Самолёт
Plank,"Доска, планка"
Plant,"Растение, сажать"
Plant,"Завод, производство"
Plaque,"Бляшка, металлический знак"
Plaster,Штукатурка или гипс
Plate,"Плита, пластина"
Plausible,Правдоподобный
Playground,Детская площадка
Plea,"Просьба, требование, иск"
Pleasure,"Удовольствие, наслаждение"
Pledge,"Залог, оставлять в залог"
Pledge,"Обещание, обязательство"
Plenty,"Множество, масса, достаток"
Plight,"Тяжёлое положение, участь"
Plot,"План, чертёж"
Plot,Сюжет
Plow,"Пахать, плуг"
Pluck,"Сорвать, выдернуть"
Plug,"Штепсель, включать"
Plug in,Включать
Plum,Слива
Plumbing,Водопровод
Plump,Пухлый
Plunge,"Окунуться, нырнуть"
Plural,Множественное число
Pocket,"Карман, карманный"
Point out,Указать
Poise,"Равновесие, самообладание"
Poison,"Яд, травить"
Poke,"Совать, тыкать"
Poke out,Высовывать
Pole,Полюс
Pole,"Шест, столб"
Polish,"Шлифовать, полировать"
Polite,Вежливый
Poll,Опрос или голосование
Pollute,Загрязнять
Pond,Пруд
Ponder,Обдумывать
Pool,Бассейн
Pope,Папа римский
Porcelain,Фарфор
Porch,"Крыльцо, терраса, веранда"
Pork,Свинина
Portable,"Портативный, переносной"
Porter,Носильщик или порьте
Portray,"Изображать, показывать"
Possess,Обладать
Post,"Почта, почтовый"
Postpone,"Отложить, задержать"
Posture,Поза
Pot,"Горшок, кастрюля"
Potato,Картофель
Potent,"Мощный, могущественный"
Pouch,"Сумочка, кошелёк"
Poultry,Домашняя птица
Pound,Фунт
Pound,"Долбить, толочь"
Pour,Лить
Pour in (into),"Хлынуть, заполонить"
Poverty,"Бедность, нищета"
Powder,Порошок
Powerful,"Мощный, действенный"
Prairie,"Степь, прерия"
Praise,"Хвалить, похвала"
Pray,Молиться
Preach,Проповедовать
Precarious,"Ненадёжный, шаткий"
Precaution,Предосторожность
Precede,Предшествовать
Precious,Драгоценный
Precise,Точный
Preclude,"Исключить, помешать"
Predator,Хищник
Predecessor,Предшественник
Predict,Предсказывать
Predominant,Преобладающий
Prefer,Предпочитать
Pregnant,Беременная
Prejudice,"Предубеждение, предрассудок"
Preliminary,Предварительный
Premature,Преждевременный
Premise,Предпосылка
Premises,Помещение (-я)
Preoccupy,Занимать внимание
Prepare,Приготовить
Prescribe,Предписывать
Preserve,"Сохранять, беречь"
Preside,Председательствовать
Press,Нажимать
Presume,Предполагать
Pretend,Притворяться
Pretext ,Повод
Pretty,Довольно-таки
Pretty,Приятный
Prevail,"Преобладать, возобладать"
Prevent,Предотвращать
Prevent smb from,Мешать
Prey,Добыча
Prick,Колоть
Pride,Гордость
Priest,"Жрец, священник"
Primary,"Первичный, главный"
Primitive,Первобытный
Principal,"Главный, основной"
Prior,"Предварительный, предшествующий"
Prison,Тюрьма
Pristine,"Нетронутый, первозданный"
Privacy,"Частная жизнь, конфиденциальность"
Probable,"Вероятный, возможный"
Probe,"Исследовать, проверить"
Probe,"Датчик, зонд"
Procedure,Процедура
Proceed,"Следовать, продолжать"
Proclaim,Провозглашать
Procure,"Достать, добыть, обеспечить"
Prod,Ткнуть (чтобы сдвинуть)
Proficient,"Опытный, умелый"
Profit,"Польза, извлекать пользу"
Profound,Глубокий (перен.)
Prohibit,Запрещать
Prolong,Продлить
Prominent,"Выдающийся, видный"
Promise,"Обещать, обещание"
Promote,"Поощрять, помогать"
Prompt,"Побуждать, подстрекать"
Prompt,"Быстрый, оперативный"
Prone,Склонный
Pronounce,Произносить
Proof,Доказательство (неисч.)
Prop,"Подпирать, подпорка"
Propagate,"Размножать, распространять"
Propel,"Двигать, толкать"
Proper,"Правильный, надлежащий"
Prophet,Пророк
Proponent,"Сторонник, поборник"
Propose,Предлагать
Prosecute,"Вести, осуществлять"
Prosecute,Преследовать (законодательно)
Prospect,"Перспектива, вид будущего"
Prosper,"Процветать, преуспевать"
Protect,Защищать
Proud,"Гордый, гордящийся"
Prove,Доказывать
Proverb,Пословица
Provisional,"Предварительный, временный"
Proximity,Близость
Prudent,"Разумный, осторожный"
Pry,"Любопытствовать, совать нос"
Publish,"Публиковать, издавать"
Puddle,Лужа
Puff,"Дуновение, пых, клубы (дыма)"
Pull back,"Отступить, отвести войска"
Pull off,"Справиться, вытянуть"
Pull over,Притормозить ненадолго
Pull through,"Выжить, выкарабкаться"
Pump,"Насос, нагнетать"
Pumpkin,Тыква
Punch,"Удар (кулаком), бить"
Punish,Наказывать
Pupil,Зрачок
Puppet,"Кукла, марионетка"
Puppy,Щенок
Purchase,"Покупка, покупать"
Pure,"Чистый, незагрязнённый"
Purge,"Чистка, очищать"
Purple,"Пурпурный, фиолетовый"
Purpose,"Цель, причина"
Purse,"Кошелек, сумочка"
Pursue,"Преследовать, гнаться"
Pursuit,Преследование
Put aside,Отложить
